Species,Common name,Species Taxonomy ID,Taxonomic Lineage,Assembly name,NCBI accession / source,contig N50 (bp),scaffold N50 (bp),reference
Dicerorhinus sumatrensis sumatrensis,Sumatran rhinoceros,310712,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Dicerorhinus; Dicerorhinus sumatrensis,HLdicSum1,GCA_002844835.1,89455,614498,mouse
Diceros bicornis,black rhinoceros,9805,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Diceros,HLdicBic1,GCA_004027315.2,91002,14664201,mouse
Diceros bicornis minor,black rhinoceros,77932,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Diceros; Diceros bicornis,HLdicBicMin2,GCA_020826845.1,28468213,65026825,mouse
Didelphis virginiana,North American opossum,9267,Mammalia; Theria; Metatheria; Didelphimorphia; Didelphidae; Didelphinae; Didelphis,HLdidVir1,DNA Zoo Consortium,36692,245356608,mouse
Dinomys branickii,pacarana,108858,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Dinomyidae; Dinomys,HLdinBra1,GCA_004027595.1,64805,77918,mouse
Dipodomys ordii,Ord's kangaroo rat,10020,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Heteromyidae; Dipodomyinae; Dipodomys,dipOrd2,GCF_000151885.1,48087,11931245,mouse
Dipodomys stephensi,Stephens's kangaroo rat,323379,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Heteromyidae; Dipodomyinae; Dipodomys,HLdipSte1,GCA_004024685.1,30710,36811,mouse
Dipus sagitta,northern three-toed jerboa,73863,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Dipodoidea; Dipodidae; Dipodinae; Dipus,HLdipSag1,GCA_036346955.1,28651707,147241050,mouse
Dolichotis patagonum,Patagonian cavy,29091,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Caviidae; Dolichotis,HLdolPat1,GCA_004027295.1,27983,31026,mouse
Dromiciops gliroides,monito del monte,33562,Mammalia; Theria; Metatheria; Microbiotheria; Microbiotheriidae; Dromiciops,HLdroGli1,GCF_019393635.1,38230856,670775900,mouse
Dugong dugon,dugong,29137,Mammalia; Theria; Eutheria; Afrotheria; Sirenia; Dugongidae; Dugong,HLdugDug1,GCA_015147995.1,19047,31096,mouse
Echinops telfairi,small Madagascar hedgehog,9371,Mammalia; Theria; Eutheria; Afrotheria; Tenrecidae; Tenrecinae; Echinops,echTel2,GCF_000313985.1,20428,45764842,mouse
Eidolon dupreanum,Malagasy straw-colored fruit bat,58063,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Pteropodinae; Eidolon,HLeidDup1,GCA_028627145.1,108606,101563129,mouse
Eidolon helvum,straw-colored fruit bat,77214,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Pteropodinae; Eidolon,HLeidHel2,DNAZoo,12384,81966912,mouse
Elaphurus davidianus,Pere David's deer,43332,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Cervinae; Elaphurus,HLelaDav1,GCA_002443075.1,59950,2844142,mouse
Elephantulus edwardii,Cape elephant shrew,28737,Mammalia; Theria; Eutheria; Afrotheria; Macroscelidea; Macroscelididae; Elephantulus,eleEdw1,GCF_000299155.1,24219,15011382,mouse
Elephas maximus,Asiatic elephant,9783,Mammalia; Theria; Eutheria; Afrotheria; Proboscidea; Elephantidae; Elephas,HLeleMax1,DNA Zoo Consortium,57119,95956831,mouse
Eliomys quercinus,garden dormouse,53277,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Gliridae; Leithiinae; Eliomys,HLeliQue1A,TBG,51740598,108114398,mouse
Eliomys quercinus,garden dormouse,53277,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Gliridae; Leithiinae; Eliomys,HLeliQue1B,TBG,45399149,107541173,mouse
Ellobius lutescens,Transcaucasian mole vole,39086,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Ellobius,HLellLut1,GCA_001685075.1,11648,242123,mouse
Ellobius talpinus,Northern mole vole,329620,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Ellobius,HLellTal1,GCA_001685095.1,8259,15246,mouse
Enhydra lutris kenyoni,sea otter,391180,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Lutrinae; Enhydra; Enhydra lutris,enhLutKen1,GCF_002288905.1,244529,38751465,mouse
Enhydra lutris nereis,sea otter,1049777,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Lutrinae; Enhydra; Enhydra lutris,enhLutNer1,GCA_006410715.1,23473,9763901,mouse
Eonycteris spelaea,lesser dawn bat,58065,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Rousettinae; Eonycteris,HLeonSpe1,GCA_003508835.1,8002591,8002591,mouse
Eptesicus fuscus,big brown bat,29078,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Eptesicus,HLeptFus2,DNA Zoo Consortium,18728,102216854,mouse
Eptesicus fuscus,big brown bat,29078,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Eptesicus,eptFus1,GCF_000308155.1,21392,13454942,mouse
Equus asinus,ass,9793,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Asinus,HLequAsi1,GCA_001305755.1,66737,3776412,mouse
Equus asinus asinus,ass,83772,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Asinus; Equus asinus,HLequAsiAsi2,GCA_003033725.1,134070,15144613,mouse
Equus burchellii boehmi,Grants zebra,89250,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Hippotigris; Equus burchellii,HLequQuaBoe1,DNA Zoo Consortium,89245,114504116,mouse
Equus burchellii quagga,quagga,89252,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Hippotigris; Equus burchellii,HLequQua1,DNA Zoo Consortium,89245,114504116,mouse
Equus caballus,horse,9796,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Equus,equCab3,GCF_002863925.1,1502753,87230776,mouse
Equus przewalskii,Przewalski's horse,9798,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Equus,equPrz1,GCF_000696695.1,57610,513800,mouse
Equus zebra,mountain zebra,9791,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Equidae; Equus; Hippotigris,HLequZeb1,DNA Zoo Consortium,182436,150600390,mouse
Erethizon dorsatum,North American porcupine,34844,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Erethizontidae; Erethizon,HLereDor1,GCA_006547115.1,118744,16680019,mouse
Erethizon dorsatum,North American porcupine,34844,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Erethizontidae; Erethizon,HLereDor2,DNA Zoo Consortium,116534,126287952,mouse
Erignathus barbatus,bearded seal,39304,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Erignathus,HLeriBar1,DNA Zoo Consortium,45719,133069726,mouse
Erinaceus europaeus,western European hedgehog,9365,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Eulipotyphla; Erinaceidae; Erinaceinae; Erinaceus,eriEur2,GCF_000296755.1,21359,3264618,mouse
Erythrocebus patas,red guenon,9538,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Erythrocebus,HLeryPat1,GCA_004027335.1,28523,34535,mouse
Eschrichtius robustus,grey whale,9764,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Eschrichtiidae; Eschrichtius,HLescRob1,GCA_004363415.1,68559,94414,mouse
Eschrichtius robustus,grey whale,9764,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Eschrichtiidae; Eschrichtius,HLescRob2,DNA Zoo Consortium,66695,103007579,mouse
Eubalaena australis,Southern right whale,160595,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenidae; Eubalaena,HLeubAus1,DNA Zoo Consortium,37826,112042483,mouse
Eubalaena glacialis,North Atlantic right whale,27606,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenidae; Eubalaena,HLeubGla1,DNA Zoo Consortium,65390,101413572,mouse
Eubalaena japonica,North Pacific right whale,302098,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenidae; Eubalaena,HLeubJap1,GCA_004363455.1,34866,39813,mouse
Eudorcas thomsonii,Thomson's gazelle,69308,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Eudorcas,HLeudTho1,GCA_006408755.1,137476,1581717,mouse
Eulemur flavifrons,Sclater's lemur,87288,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Eulemur,HLeulFla1,DNA Zoo Consortium,26840,156661540,mouse
Eulemur flavifrons,Sclaters lemur,87288,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Eulemur,eulFla1,GCA_001262665.1,27331,413352,mouse
Eulemur fulvus,brown lemur,13515,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Eulemur,HLeulFul1,GCA_004027275.1,21310,22561,mouse
Eulemur macaco,black lemur,30602,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Eulemur,eulMac1,GCA_001262655.1,20038,405987,mouse
Eulemur mongoz,mongoose lemur,34828,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Eulemur,HLeulMon1,DNA Zoo Consortium,37662,82429097,mouse
Eumetopias jubatus,Steller sea lion,34886,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Otariidae; Eumetopias,HLeumJub1,GCA_004028035.1,242372,14018600,mouse
Felis catus,domestic cat,9685,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Felis,felCat9,GCF_000181335.3,41915695,83967707,mouse
Felis nigripes,black-footed cat,61379,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Felis,HLfelNig1,GCA_004023925.1,16007,18631,mouse
Felis nigripes,black-footed cat,61379,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Felis,HLfelNig2,DNA Zoo Consortium,50376,139656774,mouse
Fukomys damarensis,Damara mole-rat,885580,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Bathyergidae; Fukomys,HLfukDam2,GCA_012274545.1,44756,62586000,mouse
Galeopterus variegatus,Sunda flying lemur,482537,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Dermoptera; Cynocephalidae; Galeopterus,HLgalVar2,GCA_004027255.2,34666,7885395,mouse
Giraffa camelopardalis,giraffe,9894,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Giraffidae; Giraffa,HLgirCam1,GCA_006408565.1,25056,3153258,mouse
Giraffa camelopardalis,giraffe,9894,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Giraffidae; Giraffa,HLgirCam2,DNA Zoo Consortium,45664,154205505,mouse
Giraffa tippelskirchi,Masai giraffe,439328,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Giraffidae; Giraffa,HLgirTip1,GCA_001651235.1,47894,212164,mouse
Glis glis,Fat dormouse,41261,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Gliridae; Glirinae; Glis,HLgliGli1,GCA_004027185.1,26062,30338,mouse
Globicephala melas,long-finned pilot whale,9731,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Globicephala,HLgloMel1,GCA_006547405.1,332801,18102937,mouse
Globicephala melas,long-finned pilot whale,9731,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Globicephala,HLgloMel2,DNA Zoo Consortium,331387,106927605,mouse
Gorilla gorilla gorilla,western lowland gorilla,9595,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Gorilla; Gorilla gorilla,gorGor6,GCF_008122165.1,9522971,26116462,mouse
Gracilinanus agilis,Agile Gracile Mouse Opossum,191870,Mammalia; Theria; Metatheria; Didelphimorphia; Didelphidae; Didelphinae; Gracilinanus,HLgraAgi1,GCA_016433145.1,73170,683521856,mouse
Grammomys surdaster,African woodland thicket rat,491861,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Grammomys,HLgraSur1,GCA_004785775.1,51731,8094907,mouse
Grampus griseus,Risso's dolphin,83653,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Grampus,HLgraGri1,DNA Zoo Consortium,61551,93180659,mouse
Graphiurus murinus,woodland dormouse,51346,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Gliridae; Graphiurinae; Graphiurus,HLgraMur1,GCA_004027655.1,22138,28463,mouse
Gulo gulo,wolverine,48420,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Martinae; Gulo,HLgulGul1,GCA_900006375.2,3657,178272,mouse
Gymnobelideus leadbeateri,Leadbeater's possum,38618,Mammalia; Theria; Metatheria; Diprotodontia; Petauridae; Gymnobelideus,HLgymLea1,GCA_011680675.1,500778,502495,mouse
Gymnobelideus leadbeateri,Leadbeater's possum,38618,Mammalia; Theria; Metatheria; Diprotodontia; Petauridae; Gymnobelideus,HLgymLea2,DNA Zoo Consortium,493667,317956571,mouse
Halichoerus grypus,gray seal,9711,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Halichoerus,HLhalGry1,GCA_012393455.1,1011981,1033864,mouse
Helarctos malayanus,Malayan sun bear,9634,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Ursidae; Helarctos,HLhelMal1,DNA Zoo Consortium,73286,59704986,mouse
Helogale parvula,dwarf mongoose,210647,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Herpestidae; Helogale,HLhelPar1,GCA_004023845.1,113567,179119,mouse
Hemitragus hylocrius,Nilgiri tahr,330464,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Hemitragus,HLhemHyl1,GCA_004026825.1,66552,85340,mouse
Heterocephalus glaber,naked mole-rat,10181,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Bathyergidae; Heterocephalus,HLhetGla3,DNA Zoo Consortium,40135,100148522,mouse
Heterocephalus glaber,naked mole-rat,10181,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Bathyergidae; Heterocephalus,hetGla2,GCF_000247695.1,47778,20532749,mouse
Heterohyrax brucei,yellow-spotted hyrax,77598,Mammalia; Theria; Eutheria; Afrotheria; Hyracoidea; Procaviidae; Heterohyrax,HLhetBru1,GCA_004026845.1,62841,67904,mouse
Hippopotamus amphibius,hippopotamus,9833,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Ancodonta; Hippopotamidae; Hippopotamus,HLhipAmp1,GCA_002995585.1,34064,110752,mouse
Hippopotamus amphibius,hippopotamus,9833,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Ancodonta; Hippopotamidae; Hippopotamus,HLhipAmp3,GCA_004027065.2,76609,4444377,mouse
Hipposideros armiger,great roundleaf bat,186990,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Hipposideridae; Hipposideros,HLhipArm1,GCA_001890085.1,39863,2328177,mouse
Hipposideros galeritus,Cantor's roundleaf bat,58069,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Hipposideridae; Hipposideros,HLhipGal1,GCA_004027415.1,33704,37985,mouse
Hippotragus equinus,roan antelope,37186,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Hippotraginae; Hippotragus,HLhipEqu1,GCA_016433095.1,237164,8357620,mouse
Hippotragus niger niger,sable antelope,82127,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Hippotraginae; Hippotragus; Hippotragus niger,HLhipNig1,GCA_006942125.1,45501,4586323,mouse
Hippotragus niger niger,sable antelope,82127,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Hippotraginae; Hippotragus; Hippotragus niger,HLhipNigNig2,DNA Zoo Consortium,44843,100235793,mouse
Homo sapiens,human,9606,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo,hg38,GCF_000001405.38,56413054,59364414,mouse
Hyaena hyaena,striped hyena,95912,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Hyaenidae; Hyaena,HLhyaHya1,GCA_003009895.1,311202,2001327,mouse
Hydrochoerus hydrochaeris,capybara,10149,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Hydrochaeridae; Hydrochoerus,HLhydHyd1,GCA_004027455.1,148451,202224,mouse
Hydrochoerus hydrochaeris,capybara,10149,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Hydrochaeridae; Hydrochoerus,HLhydHyd2,DNA Zoo Consortium,78219,71052467,mouse
Hydrodamalis gigas,Steller's sea cow,63631,Mammalia; Theria; Eutheria; Afrotheria; Sirenia; Dugongidae; Hydrodamalis,HLhydGig1,GCA_013391785.1,1345,1430,mouse
Hydropotes inermis,Chinese water deer,9883,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Hydropotinae; Hydropotes,HLhydIne1,GCA_006459105.1,131446,13818975,mouse
Hylobates moloch,silvery gibbon,81572,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hylobatidae; Hylobates,HLhylMol2,GCA_009828535.2,265822,125196221,mouse
Hystrix cristata,crested porcupine,10137,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Hystricidae; Hystrix,HLhysCri1,GCA_004026905.1,57102,64768,mouse
Ictidomys tridecemlineatus,thirteen-lined ground squirrel,43179,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Ictidomys,HLictTri2,GCF_016881025.1,44127,193221680,mouse
Ictidomys tridecemlineatus,thirteen-lined ground squirrel,43179,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Ictidomys,speTri2,GCF_000236235.1,44137,8192786,mouse
Indri indri,Indri,34827,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Indriidae; Indri,HLindInd1,GCA_004363605.1,26447,28620,mouse
Inia geoffrensis,boutu,9725,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Iniidae; Inia,HLlniGeo1,GCA_004363515.1,24570,26707,mouse
Jaculus jaculus,lesser Egyptian jerboa,51337,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Dipodoidea; Dipodidae; Dipodinae; Jaculus,HLjacJac2,GCA_020740685.1,22593140,158244790,mouse
Jaculus jaculus,lesser Egyptian jerboa,51337,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Dipodoidea; Dipodidae; Dipodinae; Jaculus,jacJac1,GCF_000280705.1,15675,22080993,mouse
Kobus ellipsiprymnus,waterbuck,9962,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Reduncinae; Kobus,HLkobEll1,GCA_006410655.1,26169,779552,mouse
Kobus leche leche,lechwe,91880,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Reduncinae; Kobus; Kobus leche,HLkobLecLec1,GCA_014926565.1,66923,3233651,mouse
Kogia breviceps,pygmy sperm whale,27615,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Physeteridae; Kogia,HLkogBre1,GCA_004363705.1,26201,28812,mouse
Lagenorhynchus obliquidens,Pacific white-sided dolphin,90247,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Lagenorhynchus,HLlagObl1,GCA_003676395.1,255779,28371583,mouse
Lagenorhynchus obliquidens,Pacific white-sided dolphin,90247,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Lagenorhynchus,HLlagObl2,DNA Zoo Consortium,254944,107447310,mouse
Lama glama,llama,9844,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Lama,HLlamGla1,DNA Zoo Consortium,92440,57409894,mouse
Lama glama chaku,llama,273914,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Lama; Lama glama,HLlamGlaCha1,GCA_013239585.1,111519,3269186,mouse
Lama guanicoe cacsilensis,guanaco,273908,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Lama; Lama guanicoe,HLlamGuaCac1,GCA_013239625.1,343812,14786206,mouse
Lasiurus borealis,red bat,258930,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Lasiurus,HLlasBor1,GCA_004026805.1,35165,38543,mouse
Lasiurus cinereus,hoary bat,257879,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Aeorestes,HLaeoCin1,GCA_011751065.1,120638,35075546,mouse
Lemur catta,Ring-tailed lemur,9447,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Lemur,HLlemCat1,GCA_004024665.1,158439,215715,mouse
Lemur catta,Ring-tailed lemur,9447,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Lemur,HLlemCat2,GCF_020740605.2,32529614,102162704,mouse
Leptonychotes weddellii,Weddell seal,9713,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Leptonychotes,HLlepWed2,DNA Zoo Consortium,46355,131171632,mouse
Leptonychotes weddellii,Weddell seal,9713,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Leptonychotes,lepWed1,GCF_000349705.1,23664,904031,mouse
Leptonycteris yerbabuenae,Lesser long-nosed bat,700936,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Glossophaginae; Leptonycteris,HLlepYer1,GIGADB,37711,14735151,mouse
Lepus americanus,snowshoe hare,48086,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Lepus,HLlepAme1,GCA_004026855.1,15057,16725,mouse
Lepus timidus,Mountain hare,62621,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Lepus,HLlepTim1,GCA_009760805.1,18458,116271063,mouse
Lipotes vexillifer,Yangtze River dolphin,118797,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Lipotidae; Lipotes,lipVex1,GCF_000442215.1,31902,2419148,mouse
Litocranius walleri,gerenuk,69311,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Litocranius,HLlitWal1,GCA_006410535.1,62351,3126223,mouse
Lontra canadensis,Northern American river otter,76717,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Lutrinae; Lontra,HLlonCan1,GCA_010015895.1,691969,18460785,mouse
