GenBank	RefSeq	UCSC	Ensembl	Gencode
AAEX03025413.1	NW_003728705.1	chrUn_AAEX03025413	AAEX03025413.1	AAEX03025413.1
AAEX03025414.1	NW_003728706.1	chrUn_AAEX03025414	AAEX03025414.1	AAEX03025414.1
AAEX03025415.1	NW_003728707.1	chrUn_AAEX03025415	AAEX03025415.1	AAEX03025415.1
AAEX03025416.1	NW_003728708.1	chrUn_AAEX03025416	AAEX03025416.1	AAEX03025416.1
AAEX03025417.1	NW_003728709.1	chrUn_AAEX03025417	AAEX03025417.1	AAEX03025417.1
AAEX03025418.1	NW_003728710.1	chrUn_AAEX03025418	AAEX03025418.1	AAEX03025418.1
AAEX03025419.1	NW_003728711.1	chrUn_AAEX03025419	AAEX03025419.1	AAEX03025419.1
AAEX03025420.1	NW_003728712.1	chrUn_AAEX03025420	AAEX03025420.1	AAEX03025420.1
AAEX03025421.1	NW_003728713.1	chrUn_AAEX03025421	AAEX03025421.1	AAEX03025421.1
AAEX03025422.1	NW_003728714.1	chrUn_AAEX03025422	AAEX03025422.1	AAEX03025422.1
AAEX03025423.1	NW_003728715.1	chrUn_AAEX03025423	AAEX03025423.1	AAEX03025423.1
AAEX03025424.1	NW_003728716.1	chrUn_AAEX03025424	AAEX03025424.1	AAEX03025424.1
AAEX03025425.1	NW_003728717.1	chrUn_AAEX03025425	AAEX03025425.1	AAEX03025425.1
AAEX03025426.1	NW_003728718.1	chrUn_AAEX03025426	AAEX03025426.1	AAEX03025426.1
AAEX03025427.1	NW_003728719.1	chrUn_AAEX03025427	AAEX03025427.1	AAEX03025427.1
AAEX03025428.1	NW_003728720.1	chrUn_AAEX03025428	AAEX03025428.1	AAEX03025428.1
AAEX03025429.1	NW_003728721.1	chrUn_AAEX03025429	AAEX03025429.1	AAEX03025429.1
AAEX03025430.1	NW_003728722.1	chrUn_AAEX03025430	AAEX03025430.1	AAEX03025430.1
AAEX03025431.1	NW_003728723.1	chrUn_AAEX03025431	AAEX03025431.1	AAEX03025431.1
AAEX03025432.1	NW_003728724.1	chrUn_AAEX03025432	AAEX03025432.1	AAEX03025432.1
AAEX03025433.1	NW_003728725.1	chrUn_AAEX03025433	AAEX03025433.1	AAEX03025433.1
AAEX03025434.1	NW_003728726.1	chrUn_AAEX03025434	AAEX03025434.1	AAEX03025434.1
AAEX03025435.1	NW_003728727.1	chrUn_AAEX03025435	AAEX03025435.1	AAEX03025435.1
AAEX03025436.1	NW_003728728.1	chrUn_AAEX03025436	AAEX03025436.1	AAEX03025436.1
AAEX03025437.1	NW_003728729.1	chrUn_AAEX03025437	AAEX03025437.1	AAEX03025437.1
AAEX03025438.1	NW_003728730.1	chrUn_AAEX03025438	AAEX03025438.1	AAEX03025438.1
AAEX03025439.1	NW_003728731.1	chrUn_AAEX03025439	AAEX03025439.1	AAEX03025439.1
AAEX03025440.1	NW_003728732.1	chrUn_AAEX03025440	AAEX03025440.1	AAEX03025440.1
AAEX03025441.1	NW_003728733.1	chrUn_AAEX03025441	AAEX03025441.1	AAEX03025441.1
AAEX03025442.1	NW_003728734.1	chrUn_AAEX03025442	AAEX03025442.1	AAEX03025442.1
AAEX03025443.1	NW_003728735.1	chrUn_AAEX03025443	AAEX03025443.1	AAEX03025443.1
AAEX03025444.1	NW_003728736.1	chrUn_AAEX03025444	AAEX03025444.1	AAEX03025444.1
AAEX03025445.1	NW_003728737.1	chrUn_AAEX03025445	AAEX03025445.1	AAEX03025445.1
AAEX03025446.1	NW_003728738.1	chrUn_AAEX03025446	AAEX03025446.1	AAEX03025446.1
AAEX03025447.1	NW_003728739.1	chrUn_AAEX03025447	AAEX03025447.1	AAEX03025447.1
AAEX03025448.1	NW_003728740.1	chrUn_AAEX03025448	AAEX03025448.1	AAEX03025448.1
AAEX03025449.1	NW_003728741.1	chrUn_AAEX03025449	AAEX03025449.1	AAEX03025449.1
AAEX03025450.1	NW_003728742.1	chrUn_AAEX03025450	AAEX03025450.1	AAEX03025450.1
AAEX03025451.1	NW_003728743.1	chrUn_AAEX03025451	AAEX03025451.1	AAEX03025451.1
AAEX03025452.1	NW_003728744.1	chrUn_AAEX03025452	AAEX03025452.1	AAEX03025452.1
AAEX03025453.1	NW_003728745.1	chrUn_AAEX03025453	AAEX03025453.1	AAEX03025453.1
AAEX03025454.1	NW_003728746.1	chrUn_AAEX03025454	AAEX03025454.1	AAEX03025454.1
AAEX03025455.1	NW_003728747.1	chrUn_AAEX03025455	AAEX03025455.1	AAEX03025455.1
AAEX03025456.1	NW_003728748.1	chrUn_AAEX03025456	AAEX03025456.1	AAEX03025456.1
AAEX03025457.1	NW_003728749.1	chrUn_AAEX03025457	AAEX03025457.1	AAEX03025457.1
AAEX03025458.1	NW_003728750.1	chrUn_AAEX03025458	AAEX03025458.1	AAEX03025458.1
AAEX03025459.1	NW_003728751.1	chrUn_AAEX03025459	AAEX03025459.1	AAEX03025459.1
AAEX03025460.1	NW_003728752.1	chrUn_AAEX03025460	AAEX03025460.1	AAEX03025460.1
AAEX03025461.1	NW_003728753.1	chrUn_AAEX03025461	AAEX03025461.1	AAEX03025461.1
AAEX03025462.1	NW_003728754.1	chrUn_AAEX03025462	AAEX03025462.1	AAEX03025462.1
AAEX03025463.1	NW_003728755.1	chrUn_AAEX03025463	AAEX03025463.1	AAEX03025463.1
AAEX03025464.1	NW_003728756.1	chrUn_AAEX03025464	AAEX03025464.1	AAEX03025464.1
AAEX03025465.1	NW_003728757.1	chrUn_AAEX03025465	AAEX03025465.1	AAEX03025465.1
AAEX03025466.1	NW_003728758.1	chrUn_AAEX03025466	AAEX03025466.1	AAEX03025466.1
AAEX03025467.1	NW_003728759.1	chrUn_AAEX03025467	AAEX03025467.1	AAEX03025467.1
AAEX03025468.1	NW_003728760.1	chrUn_AAEX03025468	AAEX03025468.1	AAEX03025468.1
AAEX03025469.1	NW_003728761.1	chrUn_AAEX03025469	AAEX03025469.1	AAEX03025469.1
AAEX03025470.1	NW_003728762.1	chrUn_AAEX03025470	AAEX03025470.1	AAEX03025470.1
AAEX03025471.1	NW_003728763.1	chrUn_AAEX03025471	AAEX03025471.1	AAEX03025471.1
AAEX03025472.1	NW_003728764.1	chrUn_AAEX03025472	AAEX03025472.1	AAEX03025472.1
AAEX03025473.1	NW_003728765.1	chrUn_AAEX03025473	AAEX03025473.1	AAEX03025473.1
AAEX03025474.1	NW_003728766.1	chrUn_AAEX03025474	AAEX03025474.1	AAEX03025474.1
AAEX03025475.1	NW_003728767.1	chrUn_AAEX03025475	AAEX03025475.1	AAEX03025475.1
AAEX03025476.1	NW_003728768.1	chrUn_AAEX03025476	AAEX03025476.1	AAEX03025476.1
AAEX03025477.1	NW_003728769.1	chrUn_AAEX03025477	AAEX03025477.1	AAEX03025477.1
AAEX03025478.1	NW_003728770.1	chrUn_AAEX03025478	AAEX03025478.1	AAEX03025478.1
AAEX03025479.1	NW_003728771.1	chrUn_AAEX03025479	AAEX03025479.1	AAEX03025479.1
AAEX03025480.1	NW_003728772.1	chrUn_AAEX03025480	AAEX03025480.1	AAEX03025480.1
AAEX03025481.1	NW_003728773.1	chrUn_AAEX03025481	AAEX03025481.1	AAEX03025481.1
AAEX03025482.1	NW_003728774.1	chrUn_AAEX03025482	AAEX03025482.1	AAEX03025482.1
AAEX03025483.1	NW_003728775.1	chrUn_AAEX03025483	AAEX03025483.1	AAEX03025483.1
AAEX03025484.1	NW_003728776.1	chrUn_AAEX03025484	AAEX03025484.1	AAEX03025484.1
AAEX03025485.1	NW_003728777.1	chrUn_AAEX03025485	AAEX03025485.1	AAEX03025485.1
AAEX03025486.1	NW_003728778.1	chrUn_AAEX03025486	AAEX03025486.1	AAEX03025486.1
AAEX03025487.1	NW_003728779.1	chrUn_AAEX03025487	AAEX03025487.1	AAEX03025487.1
AAEX03025488.1	NW_003728780.1	chrUn_AAEX03025488	AAEX03025488.1	AAEX03025488.1
AAEX03025489.1	NW_003728781.1	chrUn_AAEX03025489	AAEX03025489.1	AAEX03025489.1
AAEX03025490.1	NW_003728782.1	chrUn_AAEX03025490	AAEX03025490.1	AAEX03025490.1
AAEX03025491.1	NW_003728783.1	chrUn_AAEX03025491	AAEX03025491.1	AAEX03025491.1
AAEX03025492.1	NW_003728784.1	chrUn_AAEX03025492	AAEX03025492.1	AAEX03025492.1
AAEX03025493.1	NW_003728785.1	chrUn_AAEX03025493	AAEX03025493.1	AAEX03025493.1
AAEX03025494.1	NW_003728786.1	chrUn_AAEX03025494	AAEX03025494.1	AAEX03025494.1
AAEX03025495.1	NW_003728787.1	chrUn_AAEX03025495	AAEX03025495.1	AAEX03025495.1
AAEX03025496.1	NW_003728788.1	chrUn_AAEX03025496	AAEX03025496.1	AAEX03025496.1
AAEX03025497.1	NW_003728789.1	chrUn_AAEX03025497	AAEX03025497.1	AAEX03025497.1
AAEX03025498.1	NW_003728790.1	chrUn_AAEX03025498	AAEX03025498.1	AAEX03025498.1
AAEX03025499.1	NW_003728791.1	chrUn_AAEX03025499	AAEX03025499.1	AAEX03025499.1
AAEX03025500.1	NW_003728792.1	chrUn_AAEX03025500	AAEX03025500.1	AAEX03025500.1
AAEX03025501.1	NW_003728793.1	chrUn_AAEX03025501	AAEX03025501.1	AAEX03025501.1
AAEX03025502.1	NW_003728794.1	chrUn_AAEX03025502	AAEX03025502.1	AAEX03025502.1
AAEX03025505.1	NW_003728796.1	chrUn_AAEX03025505	AAEX03025505.1	AAEX03025505.1
AAEX03025506.1	NW_003728797.1	chrUn_AAEX03025506	AAEX03025506.1	AAEX03025506.1
AAEX03025507.1	NW_003728798.1	chrUn_AAEX03025507	AAEX03025507.1	AAEX03025507.1
AAEX03025508.1	NW_003728799.1	chrUn_AAEX03025508	AAEX03025508.1	AAEX03025508.1
AAEX03025509.1	NW_003728800.1	chrUn_AAEX03025509	AAEX03025509.1	AAEX03025509.1
AAEX03025510.1	NW_003728801.1	chrUn_AAEX03025510	AAEX03025510.1	AAEX03025510.1
AAEX03025511.1	NW_003728802.1	chrUn_AAEX03025511	AAEX03025511.1	AAEX03025511.1
AAEX03025512.1	NW_003728803.1	chrUn_AAEX03025512	AAEX03025512.1	AAEX03025512.1
AAEX03025513.1	NW_003728804.1	chrUn_AAEX03025513	AAEX03025513.1	AAEX03025513.1
AAEX03025514.1	NW_003728805.1	chrUn_AAEX03025514	AAEX03025514.1	AAEX03025514.1
AAEX03025515.1	NW_003728806.1	chrUn_AAEX03025515	AAEX03025515.1	AAEX03025515.1
AAEX03025516.1	NW_003728807.1	chrUn_AAEX03025516	AAEX03025516.1	AAEX03025516.1
AAEX03025517.1	NW_003728808.1	chrUn_AAEX03025517	AAEX03025517.1	AAEX03025517.1
AAEX03025518.1	NW_003728809.1	chrUn_AAEX03025518	AAEX03025518.1	AAEX03025518.1
AAEX03025521.1	NW_003728811.1	chrUn_AAEX03025521	AAEX03025521.1	AAEX03025521.1
AAEX03025522.1	NW_003728812.1	chrUn_AAEX03025522	AAEX03025522.1	AAEX03025522.1
AAEX03025523.1	NW_003728813.1	chrUn_AAEX03025523	AAEX03025523.1	AAEX03025523.1
AAEX03025524.1	NW_003728814.1	chrUn_AAEX03025524	AAEX03025524.1	AAEX03025524.1
AAEX03025525.1	NW_003728815.1	chrUn_AAEX03025525	AAEX03025525.1	AAEX03025525.1
AAEX03025526.1	NW_003728816.1	chrUn_AAEX03025526	AAEX03025526.1	AAEX03025526.1
AAEX03025527.1	NW_003728817.1	chrUn_AAEX03025527	AAEX03025527.1	AAEX03025527.1
AAEX03025528.1	NW_003728818.1	chrUn_AAEX03025528	AAEX03025528.1	AAEX03025528.1
AAEX03025529.1	NW_003728819.1	chrUn_AAEX03025529	AAEX03025529.1	AAEX03025529.1
AAEX03025530.1	NW_003728820.1	chrUn_AAEX03025530	AAEX03025530.1	AAEX03025530.1
AAEX03025531.1	NW_003728821.1	chrUn_AAEX03025531	AAEX03025531.1	AAEX03025531.1
AAEX03025532.1	NW_003728822.1	chrUn_AAEX03025532	AAEX03025532.1	AAEX03025532.1
AAEX03025536.1	NW_003728824.1	chrUn_AAEX03025536	AAEX03025536.1	AAEX03025536.1
AAEX03025537.1	NW_003728825.1	chrUn_AAEX03025537	AAEX03025537.1	AAEX03025537.1
AAEX03025538.1	NW_003728826.1	chrUn_AAEX03025538	AAEX03025538.1	AAEX03025538.1
AAEX03025539.1	NW_003728827.1	chrUn_AAEX03025539	AAEX03025539.1	AAEX03025539.1
AAEX03025540.1	NW_003728828.1	chrUn_AAEX03025540	AAEX03025540.1	AAEX03025540.1
AAEX03025541.1	NW_003728829.1	chrUn_AAEX03025541	AAEX03025541.1	AAEX03025541.1
AAEX03025542.1	NW_003728830.1	chrUn_AAEX03025542	AAEX03025542.1	AAEX03025542.1
AAEX03025543.1	NW_003728831.1	chrUn_AAEX03025543	AAEX03025543.1	AAEX03025543.1
AAEX03025544.1	NW_003728832.1	chrUn_AAEX03025544	AAEX03025544.1	AAEX03025544.1
AAEX03025547.1	NW_003728834.1	chrUn_AAEX03025547	AAEX03025547.1	AAEX03025547.1
AAEX03025548.1	NW_003728835.1	chrUn_AAEX03025548	AAEX03025548.1	AAEX03025548.1
AAEX03025549.1	NW_003728836.1	chrUn_AAEX03025549	AAEX03025549.1	AAEX03025549.1
AAEX03025550.1	NW_003728837.1	chrUn_AAEX03025550	AAEX03025550.1	AAEX03025550.1
AAEX03025551.1	NW_003728838.1	chrUn_AAEX03025551	AAEX03025551.1	AAEX03025551.1
AAEX03025552.1	NW_003728839.1	chrUn_AAEX03025552	AAEX03025552.1	AAEX03025552.1
AAEX03025553.1	NW_003728840.1	chrUn_AAEX03025553	AAEX03025553.1	AAEX03025553.1
AAEX03025554.1	NW_003728841.1	chrUn_AAEX03025554	AAEX03025554.1	AAEX03025554.1
AAEX03025555.1	NW_003728842.1	chrUn_AAEX03025555	AAEX03025555.1	AAEX03025555.1
AAEX03025556.1	NW_003728843.1	chrUn_AAEX03025556	AAEX03025556.1	AAEX03025556.1
AAEX03025557.1	NW_003728844.1	chrUn_AAEX03025557	AAEX03025557.1	AAEX03025557.1
AAEX03025558.1	NW_003728845.1	chrUn_AAEX03025558	AAEX03025558.1	AAEX03025558.1
AAEX03025559.1	NW_003728846.1	chrUn_AAEX03025559	AAEX03025559.1	AAEX03025559.1
AAEX03025560.1	NW_003728847.1	chrUn_AAEX03025560	AAEX03025560.1	AAEX03025560.1
AAEX03025561.1	NW_003728848.1	chrUn_AAEX03025561	AAEX03025561.1	AAEX03025561.1
AAEX03025562.1	NW_003728849.1	chrUn_AAEX03025562	AAEX03025562.1	AAEX03025562.1
AAEX03025563.1	NW_003728850.1	chrUn_AAEX03025563	AAEX03025563.1	AAEX03025563.1
AAEX03025564.1	NW_003728851.1	chrUn_AAEX03025564	AAEX03025564.1	AAEX03025564.1
AAEX03025565.1	NW_003728852.1	chrUn_AAEX03025565	AAEX03025565.1	AAEX03025565.1
AAEX03025566.1	NW_003728853.1	chrUn_AAEX03025566	AAEX03025566.1	AAEX03025566.1
AAEX03025567.1	NW_003728854.1	chrUn_AAEX03025567	AAEX03025567.1	AAEX03025567.1
AAEX03025568.1	NW_003728855.1	chrUn_AAEX03025568	AAEX03025568.1	AAEX03025568.1
AAEX03025569.1	NW_003728856.1	chrUn_AAEX03025569	AAEX03025569.1	AAEX03025569.1
AAEX03025570.1	NW_003728857.1	chrUn_AAEX03025570	AAEX03025570.1	AAEX03025570.1
AAEX03025571.1	NW_003728858.1	chrUn_AAEX03025571	AAEX03025571.1	AAEX03025571.1
AAEX03025572.1	NW_003728859.1	chrUn_AAEX03025572	AAEX03025572.1	AAEX03025572.1
AAEX03025573.1	NW_003728860.1	chrUn_AAEX03025573	AAEX03025573.1	AAEX03025573.1
AAEX03025574.1	NW_003728861.1	chrUn_AAEX03025574	AAEX03025574.1	AAEX03025574.1
AAEX03025575.1	NW_003728862.1	chrUn_AAEX03025575	AAEX03025575.1	AAEX03025575.1
AAEX03025576.1	NW_003728863.1	chrUn_AAEX03025576	AAEX03025576.1	AAEX03025576.1
AAEX03025577.1	NW_003728864.1	chrUn_AAEX03025577	AAEX03025577.1	AAEX03025577.1
AAEX03025578.1	NW_003728865.1	chrUn_AAEX03025578	AAEX03025578.1	AAEX03025578.1
AAEX03025579.1	NW_003728866.1	chrUn_AAEX03025579	AAEX03025579.1	AAEX03025579.1
AAEX03025580.1	NW_003728867.1	chrUn_AAEX03025580	AAEX03025580.1	AAEX03025580.1
AAEX03025581.1	NW_003728868.1	chrUn_AAEX03025581	AAEX03025581.1	AAEX03025581.1
AAEX03025582.1	NW_003728869.1	chrUn_AAEX03025582	AAEX03025582.1	AAEX03025582.1
AAEX03025583.1	NW_003728870.1	chrUn_AAEX03025583	AAEX03025583.1	AAEX03025583.1
AAEX03025584.1	NW_003728871.1	chrUn_AAEX03025584	AAEX03025584.1	AAEX03025584.1
AAEX03025585.1	NW_003728872.1	chrUn_AAEX03025585	AAEX03025585.1	AAEX03025585.1
AAEX03025586.1	NW_003728873.1	chrUn_AAEX03025586	AAEX03025586.1	AAEX03025586.1
AAEX03025587.1	NW_003728874.1	chrUn_AAEX03025587	AAEX03025587.1	AAEX03025587.1
AAEX03025588.1	NW_003728875.1	chrUn_AAEX03025588	AAEX03025588.1	AAEX03025588.1
AAEX03025589.1	NW_003728876.1	chrUn_AAEX03025589	AAEX03025589.1	AAEX03025589.1
AAEX03025590.1	NW_003728877.1	chrUn_AAEX03025590	AAEX03025590.1	AAEX03025590.1
AAEX03025591.1	NW_003728878.1	chrUn_AAEX03025591	AAEX03025591.1	AAEX03025591.1
AAEX03025592.1	NW_003728879.1	chrUn_AAEX03025592	AAEX03025592.1	AAEX03025592.1
AAEX03025593.1	NW_003728880.1	chrUn_AAEX03025593	AAEX03025593.1	AAEX03025593.1
AAEX03025594.1	NW_003728881.1	chrUn_AAEX03025594	AAEX03025594.1	AAEX03025594.1
AAEX03025595.1	NW_003728882.1	chrUn_AAEX03025595	AAEX03025595.1	AAEX03025595.1
AAEX03025596.1	NW_003728883.1	chrUn_AAEX03025596	AAEX03025596.1	AAEX03025596.1
AAEX03025597.1	NW_003728884.1	chrUn_AAEX03025597	AAEX03025597.1	AAEX03025597.1
AAEX03025598.1	NW_003728885.1	chrUn_AAEX03025598	AAEX03025598.1	AAEX03025598.1
AAEX03025599.1	NW_003728886.1	chrUn_AAEX03025599	AAEX03025599.1	AAEX03025599.1
AAEX03025600.1	NW_003728887.1	chrUn_AAEX03025600	AAEX03025600.1	AAEX03025600.1
AAEX03025601.1	NW_003728888.1	chrUn_AAEX03025601	AAEX03025601.1	AAEX03025601.1
AAEX03025602.1	NW_003728889.1	chrUn_AAEX03025602	AAEX03025602.1	AAEX03025602.1
AAEX03025603.1	NW_003728890.1	chrUn_AAEX03025603	AAEX03025603.1	AAEX03025603.1
AAEX03025604.1	NW_003728891.1	chrUn_AAEX03025604	AAEX03025604.1	AAEX03025604.1
AAEX03025605.1	NW_003728892.1	chrUn_AAEX03025605	AAEX03025605.1	AAEX03025605.1
AAEX03025606.1	NW_003728893.1	chrUn_AAEX03025606	AAEX03025606.1	AAEX03025606.1
AAEX03025607.1	NW_003728894.1	chrUn_AAEX03025607	AAEX03025607.1	AAEX03025607.1
AAEX03025608.1	NW_003728895.1	chrUn_AAEX03025608	AAEX03025608.1	AAEX03025608.1
AAEX03025609.1	NW_003728896.1	chrUn_AAEX03025609	AAEX03025609.1	AAEX03025609.1
AAEX03025610.1	NW_003728897.1	chrUn_AAEX03025610	AAEX03025610.1	AAEX03025610.1
AAEX03025611.1	NW_003728898.1	chrUn_AAEX03025611	AAEX03025611.1	AAEX03025611.1
AAEX03025612.1	NW_003728899.1	chrUn_AAEX03025612	AAEX03025612.1	AAEX03025612.1
AAEX03025613.1	NW_003728900.1	chrUn_AAEX03025613	AAEX03025613.1	AAEX03025613.1
AAEX03025614.1	NW_003728901.1	chrUn_AAEX03025614	AAEX03025614.1	AAEX03025614.1
AAEX03025615.1	NW_003728902.1	chrUn_AAEX03025615	AAEX03025615.1	AAEX03025615.1
AAEX03025616.1	NW_003728903.1	chrUn_AAEX03025616	AAEX03025616.1	AAEX03025616.1
AAEX03025617.1	NW_003728904.1	chrUn_AAEX03025617	AAEX03025617.1	AAEX03025617.1
AAEX03025618.1	NW_003728905.1	chrUn_AAEX03025618	AAEX03025618.1	AAEX03025618.1
AAEX03025619.1	NW_003728906.1	chrUn_AAEX03025619	AAEX03025619.1	AAEX03025619.1
AAEX03025620.1	NW_003728907.1	chrUn_AAEX03025620	AAEX03025620.1	AAEX03025620.1
AAEX03025621.1	NW_003728908.1	chrUn_AAEX03025621	AAEX03025621.1	AAEX03025621.1
AAEX03025622.1	NW_003728909.1	chrUn_AAEX03025622	AAEX03025622.1	AAEX03025622.1
AAEX03025623.1	NW_003728910.1	chrUn_AAEX03025623	AAEX03025623.1	AAEX03025623.1
AAEX03025624.1	NW_003728911.1	chrUn_AAEX03025624	AAEX03025624.1	AAEX03025624.1
AAEX03025627.1	NW_003728913.1	chrUn_AAEX03025627	AAEX03025627.1	AAEX03025627.1
AAEX03025628.1	NW_003728914.1	chrUn_AAEX03025628	AAEX03025628.1	AAEX03025628.1
AAEX03025629.1	NW_003728915.1	chrUn_AAEX03025629	AAEX03025629.1	AAEX03025629.1
AAEX03025630.1	NW_003728916.1	chrUn_AAEX03025630	AAEX03025630.1	AAEX03025630.1
AAEX03025631.1	NW_003728917.1	chrUn_AAEX03025631	AAEX03025631.1	AAEX03025631.1
AAEX03025632.1	NW_003728918.1	chrUn_AAEX03025632	AAEX03025632.1	AAEX03025632.1
AAEX03025633.1	NW_003728919.1	chrUn_AAEX03025633	AAEX03025633.1	AAEX03025633.1
AAEX03025634.1	NW_003728920.1	chrUn_AAEX03025634	AAEX03025634.1	AAEX03025634.1
AAEX03025635.1	NW_003728921.1	chrUn_AAEX03025635	AAEX03025635.1	AAEX03025635.1
AAEX03025636.1	NW_003728922.1	chrUn_AAEX03025636	AAEX03025636.1	AAEX03025636.1
AAEX03025637.1	NW_003728923.1	chrUn_AAEX03025637	AAEX03025637.1	AAEX03025637.1
AAEX03025638.1	NW_003728924.1	chrUn_AAEX03025638	AAEX03025638.1	AAEX03025638.1
AAEX03025639.1	NW_003728925.1	chrUn_AAEX03025639	AAEX03025639.1	AAEX03025639.1
AAEX03025640.1	NW_003728926.1	chrUn_AAEX03025640	AAEX03025640.1	AAEX03025640.1
AAEX03025641.1	NW_003728927.1	chrUn_AAEX03025641	AAEX03025641.1	AAEX03025641.1
AAEX03025642.1	NW_003728928.1	chrUn_AAEX03025642	AAEX03025642.1	AAEX03025642.1
AAEX03025643.1	NW_003728929.1	chrUn_AAEX03025643	AAEX03025643.1	AAEX03025643.1
AAEX03025644.1	NW_003728930.1	chrUn_AAEX03025644	AAEX03025644.1	AAEX03025644.1
AAEX03025645.1	NW_003728931.1	chrUn_AAEX03025645	AAEX03025645.1	AAEX03025645.1
AAEX03025646.1	NW_003728932.1	chrUn_AAEX03025646	AAEX03025646.1	AAEX03025646.1
AAEX03025647.1	NW_003728933.1	chrUn_AAEX03025647	AAEX03025647.1	AAEX03025647.1
AAEX03025648.1	NW_003728934.1	chrUn_AAEX03025648	AAEX03025648.1	AAEX03025648.1
AAEX03025649.1	NW_003728935.1	chrUn_AAEX03025649	AAEX03025649.1	AAEX03025649.1
AAEX03025652.1	NW_003728937.1	chrUn_AAEX03025652	AAEX03025652.1	AAEX03025652.1
AAEX03025653.1	NW_003728938.1	chrUn_AAEX03025653	AAEX03025653.1	AAEX03025653.1
AAEX03025654.1	NW_003728939.1	chrUn_AAEX03025654	AAEX03025654.1	AAEX03025654.1
AAEX03025655.1	NW_003728940.1	chrUn_AAEX03025655	AAEX03025655.1	AAEX03025655.1
AAEX03025656.1	NW_003728941.1	chrUn_AAEX03025656	AAEX03025656.1	AAEX03025656.1
AAEX03025657.1	NW_003728942.1	chrUn_AAEX03025657	AAEX03025657.1	AAEX03025657.1
AAEX03025658.1	NW_003728943.1	chrUn_AAEX03025658	AAEX03025658.1	AAEX03025658.1
AAEX03025659.1	NW_003728944.1	chrUn_AAEX03025659	AAEX03025659.1	AAEX03025659.1
AAEX03025660.1	NW_003728945.1	chrUn_AAEX03025660	AAEX03025660.1	AAEX03025660.1
AAEX03025661.1	NW_003728946.1	chrUn_AAEX03025661	AAEX03025661.1	AAEX03025661.1
AAEX03025662.1	NW_003728947.1	chrUn_AAEX03025662	AAEX03025662.1	AAEX03025662.1
AAEX03025663.1	NW_003728948.1	chrUn_AAEX03025663	AAEX03025663.1	AAEX03025663.1
AAEX03025664.1	NW_003728949.1	chrUn_AAEX03025664	AAEX03025664.1	AAEX03025664.1
AAEX03025665.1	NW_003728950.1	chrUn_AAEX03025665	AAEX03025665.1	AAEX03025665.1
AAEX03025666.1	NW_003728951.1	chrUn_AAEX03025666	AAEX03025666.1	AAEX03025666.1
AAEX03025667.1	NW_003728952.1	chrUn_AAEX03025667	AAEX03025667.1	AAEX03025667.1
AAEX03025668.1	NW_003728953.1	chrUn_AAEX03025668	AAEX03025668.1	AAEX03025668.1
AAEX03025669.1	NW_003728954.1	chrUn_AAEX03025669	AAEX03025669.1	AAEX03025669.1
AAEX03025670.1	NW_003728955.1	chrUn_AAEX03025670	AAEX03025670.1	AAEX03025670.1
AAEX03025671.1	NW_003728956.1	chrUn_AAEX03025671	AAEX03025671.1	AAEX03025671.1
AAEX03025672.1	NW_003728957.1	chrUn_AAEX03025672	AAEX03025672.1	AAEX03025672.1
AAEX03025675.1	NW_003728959.1	chrUn_AAEX03025675	AAEX03025675.1	AAEX03025675.1
AAEX03025676.1	NW_003728960.1	chrUn_AAEX03025676	AAEX03025676.1	AAEX03025676.1
AAEX03025677.1	NW_003728961.1	chrUn_AAEX03025677	AAEX03025677.1	AAEX03025677.1
AAEX03025678.1	NW_003728962.1	chrUn_AAEX03025678	AAEX03025678.1	AAEX03025678.1
AAEX03025679.1	NW_003728963.1	chrUn_AAEX03025679	AAEX03025679.1	AAEX03025679.1
AAEX03025680.1	NW_003728964.1	chrUn_AAEX03025680	AAEX03025680.1	AAEX03025680.1
AAEX03025681.1	NW_003728965.1	chrUn_AAEX03025681	AAEX03025681.1	AAEX03025681.1
AAEX03025682.1	NW_003728966.1	chrUn_AAEX03025682	AAEX03025682.1	AAEX03025682.1
AAEX03025683.1	NW_003728967.1	chrUn_AAEX03025683	AAEX03025683.1	AAEX03025683.1
AAEX03025684.1	NW_003728968.1	chrUn_AAEX03025684	AAEX03025684.1	AAEX03025684.1
AAEX03025685.1	NW_003728969.1	chrUn_AAEX03025685	AAEX03025685.1	AAEX03025685.1
AAEX03025686.1	NW_003728970.1	chrUn_AAEX03025686	AAEX03025686.1	AAEX03025686.1
AAEX03025687.1	NW_003728971.1	chrUn_AAEX03025687	AAEX03025687.1	AAEX03025687.1
AAEX03025688.1	NW_003728972.1	chrUn_AAEX03025688	AAEX03025688.1	AAEX03025688.1
AAEX03025689.1	NW_003728973.1	chrUn_AAEX03025689	AAEX03025689.1	AAEX03025689.1
AAEX03025690.1	NW_003728974.1	chrUn_AAEX03025690	AAEX03025690.1	AAEX03025690.1
AAEX03025691.1	NW_003728975.1	chrUn_AAEX03025691	AAEX03025691.1	AAEX03025691.1
AAEX03025692.1	NW_003728976.1	chrUn_AAEX03025692	AAEX03025692.1	AAEX03025692.1
AAEX03025693.1	NW_003728977.1	chrUn_AAEX03025693	AAEX03025693.1	AAEX03025693.1
AAEX03025694.1	NW_003728978.1	chrUn_AAEX03025694	AAEX03025694.1	AAEX03025694.1
AAEX03025695.1	NW_003728979.1	chrUn_AAEX03025695	AAEX03025695.1	AAEX03025695.1
